,country,continent,population,confirmed,deaths,percentage_confirmed_%,percentage_deaths_%,happiness_pre_pandemic,happiness_pandemic,happiness_diff
0,Afghanistan,Asia,35530081,151770,7000,0.42715917253326835,0.0197016156535078,2.566900015,2.523,-0.04390001499999974
1,Albania,Europe,2930187,135140,2461,4.611992340420594,0.08398781374704072,4.882699966,5.117,0.23430003400000032
2,Algeria,Africa,41318142,185902,4730,0.4499282663775152,0.01144775580663816,5.005099773,4.887,-0.11809977300000085
3,Argentina,South America,44271041,5074725,108815,11.462854465066679,0.24579272938262284,5.974699974,5.929,-0.0456999739999997
4,Armenia,Asia,2930450,233797,4678,7.97819447525124,0.15963418587588937,4.676799774,5.283,0.6062002260000003
5,Australia,Oceania,24450561,38193,949,0.1562050048667595,0.003881301537416667,7.222799778,7.183,-0.0397997779999999
6,Austria,Europe,8735453,666890,10753,7.634292119710334,0.1230960775588856,7.294199944,7.268,-0.02619994400000003
7,Azerbaijan,Asia,9827589,361501,5125,3.678430182621597,0.05214910798569211,5.164800167,5.171,0.0061998330000001545
8,Bahrain,Asia,1492584,270692,1384,18.13579671227884,0.0927250995588858,6.227300167,6.647,0.41969983300000013
9,Bangladesh,Asia,164669751,1405333,23810,0.8534251078086588,0.014459243337290283,4.832799911,5.025,0.19220008899999996
10,Belarus,Europe,9468338,458847,3582,4.846119773079499,0.0378313490709774,5.539899826,5.534,-0.0058998260000002745
11,Belgium,Europe,11429336,1147855,25285,10.043059369328192,0.22122894978325952,6.863500118,6.834,-0.02950011800000052
12,Benin,Africa,11175692,9065,113,0.0811135453625601,0.0010111230696049963,5.21600008,5.045,-0.17100007999999978
13,Bolivia,South America,11051600,480946,18133,4.351822360563176,0.16407578993086974,5.747499943,5.716,-0.03149994300000003
14,Bosnia and Herzegovina,Europe,3507017,207076,9701,5.9046192248283935,0.27661685130126257,5.674099922,5.813,0.13890007799999982
15,Botswana,Africa,2291661,136758,1973,5.9676365745195294,0.08609475834340245,3.478899956,3.467,-0.011899955999999712
16,Brazil,South America,209288278,20319000,567862,9.70861827244811,0.2713300550927176,6.375599861,6.33,-0.04559986100000035
17,Bulgaria,Europe,7084571,432339,18332,6.10254311799543,0.25875949298835454,5.101500034,5.266,0.16449996600000016
18,Burkina Faso,Africa,19193382,13668,170,0.07121204590207186,0.0008857219639561177,4.768700123,4.834,0.06529987699999928
19,Burundi,Africa,10864245,9620,38,0.088547340381223,0.00034977119901106796,3.775300026,3.775,-0.0003000260000001198
20,Cambodia,Asia,16005373,84262,1654,0.5264607079135237,0.010334029703650143,4.848400116,4.83,-0.018400115999999578
21,Cameroon,Africa,24053727,82454,1338,0.3427909529363163,0.0055625475420087705,5.084899902,5.142,0.057100098000000266
22,Canada,North America,36624199,1457458,26654,3.9794945413004115,0.07277701827690483,7.23210001,7.103,-0.12910001000000015
23,Chad,Africa,14899994,4981,174,0.03342954366290349,0.0011677857051486061,4.422699928,4.355,-0.06769992799999969
24,Chile,South America,18054726,1627428,36287,9.013861523016189,0.20098338795061194,6.228499889,6.172,-0.05649988900000036
25,China,Asia,1409517397,106353,4848,0.00754534851619146,0.00034394751070958226,5.123899937,5.339,0.2151000630000004
26,Colombia,South America,49065615,4860622,123221,9.906371294846707,0.2511351381206574,6.163400173,6.012,-0.15140017300000075
27,Comoros,Africa,813912,4035,147,0.4957538407100522,0.018060920590923835,4.288599968,4.289,0.0004000319999999391
28,Costa Rica,North America,4905769,428295,5211,8.730435534163961,0.10622187877170736,7.121399879,7.069,-0.052399879000000205
29,Croatia,Europe,4189353,366357,8280,8.744954173114559,0.19764388438978522,5.504700184,5.882,0.37729981599999984
30,Cyprus,Asia,1179551,108306,455,9.181968393058035,0.03857399976770822,6.15899992,6.223,0.06400007999999957
31,Denmark,Europe,5733551,330236,2560,5.759711564438861,0.04464946766846584,7.645599842,7.62,-0.025599842000000095
32,Dominican Republic,North America,10766998,345637,3976,3.2101519847965045,0.036927656158197486,5.689199924,5.545,-0.14419992400000048
33,Ecuador,South America,16624858,493767,31870,2.9700524359365956,0.19170088550530778,5.925199986,5.764,-0.16119998599999974
34,Egypt,Africa,97553151,285158,16609,0.2923103939512933,0.01702559049066493,4.151400089,4.283,0.13159991100000035
35,El Salvador,North America,6377853,90129,2769,1.4131558065072996,0.04341586424146182,6.34829998,6.061,-0.28729998000000023
36,Estonia,Europe,1309632,136500,1279,10.42277525289547,0.09766102233299125,6.021800041,6.189,0.1671999590000004
37,Ethiopia,Africa,104957438,288159,4460,0.27454843171762633,0.004249341528325034,4.186200142,4.275,0.08879985800000068
38,Finland,Europe,5523231,116231,998,2.1044022964094746,0.018069133809540103,7.808700085,7.842,0.033299914999999736
39,France,Europe,64979548,6471262,112705,9.958921228568718,0.17344688208665288,6.663799763,6.69,0.026200237000000293
40,Gabon,Africa,2025137,25564,165,1.2623343507130629,0.008147596928010302,4.829299927,4.852,0.02270007300000021
41,Gambia,Africa,2100568,8920,251,0.42464704784610635,0.011949148992082142,4.750599861,5.051,0.30040013899999973
42,Georgia,Asia,3912061,471685,6321,12.057199517083195,0.16157723511980002,4.672599792,4.891,0.21840020800000026
43,Germany,Europe,82114224,3819871,91866,4.651899286048176,0.11187586696307329,7.075799942,7.155,0.07920005800000052
44,Ghana,Africa,28833629,109736,906,0.38058338060741503,0.0031421643109856203,5.147999763,5.088,-0.05999976299999954
45,Greece,Europe,11159773,531967,13150,4.766826350320925,0.11783393802006546,5.514999866,5.723,0.20800013399999973
46,Guatemala,North America,16913503,407564,11006,2.409695968954509,0.06507226799794223,6.398900032,6.435,0.03609996799999937
47,Guinea,Africa,12717176,27645,277,0.21738316745793249,0.0021781565341236135,4.949299812,4.984,0.03470018800000041
48,Haiti,North America,10981229,20507,576,0.1867459461960041,0.005245314527180883,3.720799923,3.615,-0.10579992299999974
49,Honduras,North America,9265067,316235,8373,3.413197119891308,0.09037171560658978,5.953199863,5.919,-0.03419986300000044
50,Hungary,Europe,9721559,810316,30038,8.335247463909852,0.3089833636765461,6.000400066,5.992,-0.008400066000000095
